,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,phase,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
33,Conceptofseeing_2023_11_8_PW_Beny_(pilot),804.0833333,48245,806.05,48363,Beny,latency_first_choice,non_visible,pretest2,,,,FALSE,,0.405641737,0.406633876,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
34,Conceptofseeing_2023_11_8_PW_Beny_(pilot),806.0666667,48364,,,Beny,choice,unseen,pretest2,,,,TRUE,,0.406642284,0.406642284,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
35,Conceptofseeing_2023_11_8_PW_Beny_(pilot),807.1666667,48430,,,Beny,food_taken,unseen,pretest2,,,,TRUE,,0.407197209,0.407197209,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
36,Conceptofseeing_2023_11_8_PW_Beny_(pilot),811.8,48708,,,Beny,food_taken,seen,pretest2,,,,TRUE,,0.40953462,0.40953462,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
37,Conceptofseeing_2023_11_8_PW_Beny_(pilot),902.7,54162,1109.233333,66554,Beny,phase,pretest1b,pretest1b,,,,FALSE,,0.4553916,0.559582965,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14090,#f39579,14080
38,Conceptofseeing_2023_11_8_PW_Beny_(pilot),968.7833333,58127,,,Beny,approach,yes_approach,pretest1b,,,,TRUE,,0.488729138,0.488729138,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,15138,#02d779,15136
39,Conceptofseeing_2023_11_8_PW_Beny_(pilot),1088.75,65325,,,Beny,approach,no_approach,pretest1b,,,,TRUE,,0.54924959,0.54924959,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
40,Conceptofseeing_2023_11_8_PW_Beny_(pilot),1109.45,66567,1969.933333,118196,Beny,phase,test,test,,,,FALSE,,0.559692269,0.993786522,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14092,#7981f3,14080
41,Conceptofseeing_2023_11_8_PW_Beny_(pilot),1347.95,80877,1350.616667,81037,Beny,latency_first_choice,visible,test,,,,FALSE,,0.68001009,0.681355362,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
42,Conceptofseeing_2023_11_8_PW_Beny_(pilot),1350.766667,81046,,,Beny,choice,seen,test,,,,TRUE,,0.681431034,0.681431034,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
43,Conceptofseeing_2023_11_8_PW_Beny_(pilot),1351.383333,81083,,,Beny,food_taken,seen,test,,,,TRUE,,0.681742128,0.681742128,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
44,Conceptofseeing_2023_11_8_PW_Beny_(pilot),1355.883333,81353,,,Beny,food_taken,unseen,test,,,,TRUE,,0.684012276,0.684012276,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
45,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),1.633333333,98,432.6166667,25957,Boo2,phase,exploration,exploration,,,,FALSE,,0.001165543,0.308714216,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14086,#e6f379,14080
46,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),43.65,2619,50.8,3048,Boo2,latency_first_choice,visible,exploration,,,,FALSE,,0.031148535,0.036250758,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
47,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),51,3060,,,Boo2,choice,seen,exploration,,,,TRUE,,0.036393478,0.036393478,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
48,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),53.11666667,3187,,,Boo2,food_taken,seen,exploration,,,,TRUE,,0.037903926,0.037903926,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
49,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),156.1333333,9368,172.2166667,10333,Boo2,latency_first_choice,non_visible,exploration,,,,FALSE,,0.111416372,0.1228934,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
50,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),172.2166667,10333,,,Boo2,choice,unseen,exploration,,,,TRUE,,0.1228934,0.1228934,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
51,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),173.8666667,10432,,,Boo2,food_taken,unseen,exploration,,,,TRUE,,0.124070836,0.124070836,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
52,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),432.6166667,25957,568.95,34137,Boo2,phase,pretest1a,pretest1a,,,,FALSE,,0.308714216,0.406001356,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14088,#dc79f3,14080
53,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),494.5666667,29674,,,Boo2,approach,no_approach,pretest1a,,,,TRUE,,0.352921588,0.352921588,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
54,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),568.95,34137,759.4,45564,Boo2,phase,pretest2,pretest2,,,,FALSE,,0.406001356,0.541906019,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14089,#79f3b8,14080
55,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),594.8333333,35690,633.2333333,37994,Boo2,latency_first_choice,non_visible,pretest2,,,,FALSE,,0.42447164,0.451873788,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
56,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),633.2333333,37994,,,Boo2,choice,unseen,pretest2,,,,TRUE,,0.451873788,0.451873788,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
57,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),634,38040,,,Boo2,food_taken,unseen,pretest2,,,,TRUE,,0.45242088,0.45242088,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
58,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),639.9666667,38398,,,Boo2,food_taken,seen,pretest2,,,,TRUE,,0.456678679,0.456678679,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
59,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),759.4,45564,1174.416667,70465,Boo2,phase,pretest1b,pretest1b,,,,FALSE,,0.541906019,0.838060917,3,7833,0,2319,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14090,#f39579,14080
60,ConceptofSeeing_2023_11_10_PW_Boo2_(Pilot),801.2166667,48073,,,Boo2,approach,yes_approach,pretest1b,,,,TRUE,,0.571746292,0.571746292,3,7833,0,2319,LOOPY_scoring_event_nonsocial,Nonsocial Event,15138,#02d779,15136
